"feasible","instance","model","seed","SRTimeOut","SRTime","solverMemOut","solverTimeOut","solverTime","solverNodeOut","nNodes","sat","cmd","md5checksum","type","configurationId","configurationSeed","iteration","runId"
1,"inst-13-1681160445","model",0,0,5.931,0,1,NA,NA,NA,NA,"../wrapper.py 13 1 1681160445 tuning -nnodes_middle 2 -nnodes_delta 8 -nrings_middle 14 -nrings_delta 2 -capacity_middle 3 -capacity_delta 9 -demand_cardMiddle 17 -demand_cardDelta 0 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 2 -demand_inner_inner_middle 20 -demand_inner_inner_delta 23","a6ad770bf0853e8c0319295d13f0333c","solver timeout",13,1681160445,1,13
0,"inst-14-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 14 1 1681160445 tuning -nnodes_middle 33 -nnodes_delta 8 -nrings_middle 10 -nrings_delta 2 -capacity_middle 50 -capacity_delta 9 -demand_cardMiddle 28 -demand_cardDelta 2 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 3 -demand_inner_inner_middle 29 -demand_inner_inner_delta 0","inst-14-1681160445","no instance",14,1681160445,1,14
0,"inst-15-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 15 1 1681160445 tuning -nnodes_middle 46 -nnodes_delta 19 -nrings_middle 20 -nrings_delta 2 -capacity_middle 3 -capacity_delta 20 -demand_cardMiddle 42 -demand_cardDelta 2 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 0 -demand_inner_inner_middle 18 -demand_inner_inner_delta 18","inst-15-1681160445","no instance",15,1681160445,1,15
1,"inst-16-1681160445","model",0,0,10.356,0,1,NA,NA,NA,NA,"../wrapper.py 16 1 1681160445 tuning -nnodes_middle 46 -nnodes_delta 17 -nrings_middle 13 -nrings_delta 16 -capacity_middle 15 -capacity_delta 23 -demand_cardMiddle 8 -demand_cardDelta 1 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 1 -demand_inner_inner_middle 5 -demand_inner_inner_delta 20","0b090743b3fa1bd9d19997c9476248d2","solver timeout",16,1681160445,1,16
0,"inst-17-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 17 1 1681160445 tuning -nnodes_middle 27 -nnodes_delta 16 -nrings_middle 21 -nrings_delta 21 -capacity_middle 37 -capacity_delta 8 -demand_cardMiddle 48 -demand_cardDelta 2 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 0 -demand_inner_inner_middle 30 -demand_inner_inner_delta 10","inst-17-1681160445","no instance",17,1681160445,1,17
0,"inst-18-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 18 1 1681160445 tuning -nnodes_middle 4 -nnodes_delta 13 -nrings_middle 49 -nrings_delta 17 -capacity_middle 28 -capacity_delta 6 -demand_cardMiddle 39 -demand_cardDelta 2 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 3 -demand_inner_inner_middle 33 -demand_inner_inner_delta 11","inst-18-1681160445","no instance",18,1681160445,1,18
0,"inst-19-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 19 1 1681160445 tuning -nnodes_middle 25 -nnodes_delta 9 -nrings_middle 23 -nrings_delta 20 -capacity_middle 47 -capacity_delta 3 -demand_cardMiddle 38 -demand_cardDelta 3 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 3 -demand_inner_inner_middle 18 -demand_inner_inner_delta 9","inst-19-1681160445","no instance",19,1681160445,1,19
0,"inst-20-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 20 1 1681160445 tuning -nnodes_middle 48 -nnodes_delta 2 -nrings_middle 47 -nrings_delta 8 -capacity_middle 27 -capacity_delta 13 -demand_cardMiddle 36 -demand_cardDelta 1 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 0 -demand_inner_inner_middle 18 -demand_inner_inner_delta 15","inst-20-1681160445","no instance",20,1681160445,1,20
0,"inst-21-1681160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 21 1 1681160445 tuning -nnodes_middle 3 -nnodes_delta 21 -nrings_middle 11 -nrings_delta 19 -capacity_middle 7 -capacity_delta 8 -demand_cardMiddle 31 -demand_cardDelta 1 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 2 -demand_inner_inner_middle 25 -demand_inner_inner_delta 23","inst-21-1681160445","no instance",21,1681160445,1,21
1,"inst-22-1681160445","model",0,0,14.562,0,1,NA,NA,NA,NA,"../wrapper.py 22 1 1681160445 tuning -nnodes_middle 43 -nnodes_delta 9 -nrings_middle 16 -nrings_delta 20 -capacity_middle 23 -capacity_delta 7 -demand_cardMiddle 4 -demand_cardDelta 0 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 2 -demand_inner_inner_middle 34 -demand_inner_inner_delta 22","3c89d48e6e5e5148d48504bcf0cf0c1e","solver timeout",22,1681160445,1,22
