feasible,instance,model,seed,SRTimeOut,SRTime,solverMemOut,solverTimeOut,solverTime,solverNodeOut,nNodes,sat,cmd,md5checksum
1,inst-128-123,model,0,0,6.913,0,0,18.4658,0,369838,yes,../wrapper.py 128 128 123 random -n_templates_middle 28 -n_templates_delta 16 -n_slots_middle 24 -n_slots_delta 6 -n_variations_middle 24 -n_variations_delta 19 -demand_range_middle 29 -demand_range_delta 10,b5f97de09cee7565cbbcfa3606850816
1,inst-129-123,model,0,0,7.549,0,0,29.9519,0,492001,yes,../wrapper.py 129 129 123 random -n_templates_middle 41 -n_templates_delta 7 -n_slots_middle 30 -n_slots_delta 11 -n_variations_middle 14 -n_variations_delta 13 -demand_range_middle 11 -demand_range_delta 14,5bfdd5062bb1ca2740dd8b2f6fade5df
1,inst-13-123,model,0,0,10.686,0,0,87.3685,0,1214162,yes,../wrapper.py 13 13 123 random -n_templates_middle 40 -n_templates_delta 2 -n_slots_middle 24 -n_slots_delta 12 -n_variations_middle 30 -n_variations_delta 8 -demand_range_middle 24 -demand_range_delta 24,1ea069d22990a2e3eed0610046a318ac
1,inst-131-123,model,0,0,6.03,0,0,10.2909,0,265406,yes,../wrapper.py 131 131 123 random -n_templates_middle 42 -n_templates_delta 17 -n_slots_middle 23 -n_slots_delta 13 -n_variations_middle 13 -n_variations_delta 1 -demand_range_middle 19 -demand_range_delta 0,33dce31bcdceb7ecd2f407ccd97730a7
1,inst-132-123,model,0,0,12.553,0,0,80.712,0,905915,yes,../wrapper.py 132 132 123 random -n_templates_middle 44 -n_templates_delta 24 -n_slots_middle 36 -n_slots_delta 20 -n_variations_middle 45 -n_variations_delta 13 -demand_range_middle 28 -demand_range_delta 7,892611555e9b8287a70c5d8c995e8f5e
1,inst-133-123,model,0,0,12.975,0,0,49.7392,0,610444,yes,../wrapper.py 133 133 123 random -n_templates_middle 33 -n_templates_delta 6 -n_slots_middle 15 -n_slots_delta 17 -n_variations_middle 37 -n_variations_delta 4 -demand_range_middle 15 -demand_range_delta 9,8b96737477c25cf6805cbd2bd75a5bd2
1,inst-135-123,model,0,0,5.821,0,0,16.7394,0,418275,yes,../wrapper.py 135 135 123 random -n_templates_middle 44 -n_templates_delta 20 -n_slots_middle 33 -n_slots_delta 15 -n_variations_middle 14 -n_variations_delta 0 -demand_range_middle 21 -demand_range_delta 9,70b5c5a033d2d41c58b56f5d6341cffb
1,inst-138-123,model,0,0,11.866,0,0,101.226,0,1047274,yes,../wrapper.py 138 138 123 random -n_templates_middle 50 -n_templates_delta 15 -n_slots_middle 15 -n_slots_delta 4 -n_variations_middle 41 -n_variations_delta 18 -demand_range_middle 11 -demand_range_delta 19,3d8a2a01a1dc358cc3f04f6efb2c2588
1,inst-139-123,model,0,0,11.799,0,0,86.8638,0,855899,yes,../wrapper.py 139 139 123 random -n_templates_middle 44 -n_templates_delta 13 -n_slots_middle 30 -n_slots_delta 23 -n_variations_middle 48 -n_variations_delta 16 -demand_range_middle 3 -demand_range_delta 21,cad7c10e6a1b180ffcc695d33666832c
1,inst-143-123,model,0,0,7.229,0,0,12.0145,0,229823,yes,../wrapper.py 143 143 123 random -n_templates_middle 20 -n_templates_delta 7 -n_slots_middle 27 -n_slots_delta 6 -n_variations_middle 42 -n_variations_delta 10 -demand_range_middle 3 -demand_range_delta 24,34205e3ffdd3a0b5eacdd1f6bae7dcc9
