"feasible","instance","model","seed","SRTimeOut","SRTime","solverMemOut","solverTimeOut","solverTime","solverNodeOut","nNodes","sat","cmd","md5checksum","type","configurationId","configurationSeed","runId"
0,"inst-11-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 11 11 123 random -numNodes_middle 42 -numNodes_delta 7 -numLeaves_middle 36 -numLeaves_delta 6 -numPeriods_middle 30 -numPeriods_delta 12 -maxStock_middle 14 -maxStock_delta 14 -holdingCost_range_middle 46 -holdingCost_range_delta 23 -procCost_range_middle 13 -procCost_range_delta 8 -demand_range_middle 50 -demand_range_delta 16 -children_range_cardMiddle 47 -children_range_cardDelta 1 -children_range_inner_middle 21 -children_range_inner_delta 16","inst-11-123","no instance",11,123,11
1,"inst-12-123","model",0,0,20.638,0,0,0.019341,0,0,"no","../wrapper.py 12 12 123 random -numNodes_middle 8 -numNodes_delta 14 -numLeaves_middle 12 -numLeaves_delta 24 -numPeriods_middle 31 -numPeriods_delta 12 -maxStock_middle 21 -maxStock_delta 22 -holdingCost_range_middle 18 -holdingCost_range_delta 7 -procCost_range_middle 8 -procCost_range_delta 4 -demand_range_middle 24 -demand_range_delta 6 -children_range_cardMiddle 11 -children_range_cardDelta 2 -children_range_inner_middle 3 -children_range_inner_delta 17","1ad37ab9f980317ba629d10929c27c88","unsat + too easy",12,123,12
0,"inst-13-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 13 13 123 random -numNodes_middle 18 -numNodes_delta 10 -numLeaves_middle 42 -numLeaves_delta 22 -numPeriods_middle 15 -numPeriods_delta 24 -maxStock_middle 37 -maxStock_delta 17 -holdingCost_range_middle 2 -holdingCost_range_delta 10 -procCost_range_middle 24 -procCost_range_delta 14 -demand_range_middle 35 -demand_range_delta 23 -children_range_cardMiddle 31 -children_range_cardDelta 1 -children_range_inner_middle 28 -children_range_inner_delta 1","inst-13-123","no instance",13,123,13
0,"inst-14-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 14 14 123 random -numNodes_middle 14 -numNodes_delta 9 -numLeaves_middle 10 -numLeaves_delta 20 -numPeriods_middle 8 -numPeriods_delta 20 -maxStock_middle 28 -maxStock_delta 16 -holdingCost_range_middle 8 -holdingCost_range_delta 16 -procCost_range_middle 15 -procCost_range_delta 18 -demand_range_middle 20 -demand_range_delta 25 -children_range_cardMiddle 49 -children_range_cardDelta 2 -children_range_inner_middle 13 -children_range_inner_delta 5","inst-14-123","no instance",14,123,14
0,"inst-15-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 15 15 123 random -numNodes_middle 30 -numNodes_delta 6 -numLeaves_middle 27 -numLeaves_delta 19 -numPeriods_middle 9 -numPeriods_delta 10 -maxStock_middle 24 -maxStock_delta 21 -holdingCost_range_middle 47 -holdingCost_range_delta 22 -procCost_range_middle 34 -procCost_range_delta 24 -demand_range_middle 26 -demand_range_delta 14 -children_range_cardMiddle 17 -children_range_cardDelta 1 -children_range_inner_middle 2 -children_range_inner_delta 12","inst-15-123","no instance",15,123,15
1,"inst-16-123","model",0,0,15.354,0,0,0.036599,0,0,"no","../wrapper.py 16 16 123 random -numNodes_middle 44 -numNodes_delta 0 -numLeaves_middle 4 -numLeaves_delta 4 -numPeriods_middle 39 -numPeriods_delta 18 -maxStock_middle 49 -maxStock_delta 11 -holdingCost_range_middle 3 -holdingCost_range_delta 16 -procCost_range_middle 38 -procCost_range_delta 3 -demand_range_middle 20 -demand_range_delta 5 -children_range_cardMiddle 2 -children_range_cardDelta 1 -children_range_inner_middle 4 -children_range_inner_delta 5","7d52d0f57115792a754105a3562bdb4d","unsat + too easy",16,123,16
0,"inst-17-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 17 17 123 random -numNodes_middle 3 -numNodes_delta 16 -numLeaves_middle 15 -numLeaves_delta 2 -numPeriods_middle 4 -numPeriods_delta 22 -maxStock_middle 38 -maxStock_delta 20 -holdingCost_range_middle 50 -holdingCost_range_delta 2 -procCost_range_middle 5 -procCost_range_delta 20 -demand_range_middle 40 -demand_range_delta 0 -children_range_cardMiddle 39 -children_range_cardDelta 2 -children_range_inner_middle 32 -children_range_inner_delta 12","inst-17-123","no instance",17,123,17
0,"inst-18-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 18 18 123 random -numNodes_middle 8 -numNodes_delta 0 -numLeaves_middle 23 -numLeaves_delta 12 -numPeriods_middle 20 -numPeriods_delta 11 -maxStock_middle 36 -maxStock_delta 1 -holdingCost_range_middle 18 -holdingCost_range_delta 20 -procCost_range_middle 42 -procCost_range_delta 6 -demand_range_middle 18 -demand_range_delta 22 -children_range_cardMiddle 43 -children_range_cardDelta 1 -children_range_inner_middle 8 -children_range_inner_delta 17","inst-18-123","no instance",18,123,18
0,"inst-19-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 19 19 123 random -numNodes_middle 6 -numNodes_delta 0 -numLeaves_middle 50 -numLeaves_delta 0 -numPeriods_middle 17 -numPeriods_delta 22 -maxStock_middle 31 -maxStock_delta 7 -holdingCost_range_middle 37 -holdingCost_range_delta 21 -procCost_range_middle 16 -procCost_range_delta 12 -demand_range_middle 35 -demand_range_delta 16 -children_range_cardMiddle 32 -children_range_cardDelta 3 -children_range_inner_middle 21 -children_range_inner_delta 2","inst-19-123","no instance",19,123,19
0,"inst-20-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 20 20 123 random -numNodes_middle 27 -numNodes_delta 5 -numLeaves_middle 25 -numLeaves_delta 9 -numPeriods_middle 50 -numPeriods_delta 9 -maxStock_middle 12 -maxStock_delta 15 -holdingCost_range_middle 6 -holdingCost_range_delta 25 -procCost_range_middle 26 -procCost_range_delta 4 -demand_range_middle 31 -demand_range_delta 25 -children_range_cardMiddle 34 -children_range_cardDelta 1 -children_range_inner_middle 17 -children_range_inner_delta 20","inst-20-123","no instance",20,123,20
