feasible,instance,model,seed,SRTimeOut,SRTime,solverMemOut,solverTimeOut,solverTime,solverNodeOut,nNodes,sat,cmd,md5checksum,type,configurationId,configurationSeed,iteration,runId
1,inst-32-2003408602,model,1,0,5.667,0,0,6.97894,0,217635,yes,../wrapper.py 32 1 2003408602 tuning -k_middle 26 -k_delta 9 -l_middle 22 -l_delta 0 -n_middle 46 -n_delta 1,1eea7f9777efb8d683b3dca2d2c3670d,sat + too easy,32,2003408602,1,32
1,inst-32-1010774377,model,0,0,6.539,0,0,210.622,0,4594536,yes,../wrapper.py 32 1 1010774377 tuning -k_middle 26 -k_delta 9 -l_middle 22 -l_delta 0 -n_middle 46 -n_delta 1,945505d3b051db4d3200d0ac332e73e3,sat + graded,32,1010774377,1,32
1,inst-32-1010774377,model,1,0,6.265,0,0,197.524,0,5474880,yes,../wrapper.py 32 1 1010774377 tuning -k_middle 26 -k_delta 9 -l_middle 22 -l_delta 0 -n_middle 46 -n_delta 1,945505d3b051db4d3200d0ac332e73e3,sat + graded,32,1010774377,1,32
1,inst-32-1010774377,model,2,0,6.042,0,0,49.0304,0,1630361,yes,../wrapper.py 32 1 1010774377 tuning -k_middle 26 -k_delta 9 -l_middle 22 -l_delta 0 -n_middle 46 -n_delta 1,945505d3b051db4d3200d0ac332e73e3,sat + graded,32,1010774377,1,32
1,inst-32-1010774377,model,3,0,6.591,0,0,175.393,0,5472576,yes,../wrapper.py 32 1 1010774377 tuning -k_middle 26 -k_delta 9 -l_middle 22 -l_delta 0 -n_middle 46 -n_delta 1,945505d3b051db4d3200d0ac332e73e3,sat + graded,32,1010774377,1,32
1,inst-32-1010774377,model,4,0,6.002,0,0,6.10823,0,166174,yes,../wrapper.py 32 1 1010774377 tuning -k_middle 26 -k_delta 9 -l_middle 22 -l_delta 0 -n_middle 46 -n_delta 1,945505d3b051db4d3200d0ac332e73e3,sat + too easy,32,1010774377,1,32
1,inst-36-2024984865,model,0,0,5.967,0,0,10.0735,0,265888,yes,../wrapper.py 36 1 2024984865 tuning -k_middle 36 -k_delta 18 -l_middle 24 -l_delta 3 -n_middle 40 -n_delta 10,c53d49bff8c267bcae181950e3165d59,sat + graded,36,2024984865,1,36
1,inst-36-2024984865,model,1,0,6.005,0,0,0.708046,0,15681,yes,../wrapper.py 36 1 2024984865 tuning -k_middle 36 -k_delta 18 -l_middle 24 -l_delta 3 -n_middle 40 -n_delta 10,c53d49bff8c267bcae181950e3165d59,sat + too easy,36,2024984865,1,36
1,inst-37-2024984865,model,0,0,8.288,0,0,103.032,0,1656651,yes,../wrapper.py 37 1 2024984865 tuning -k_middle 22 -k_delta 0 -l_middle 8 -l_delta 10 -n_middle 39 -n_delta 0,590d1add205a58dd8bf8d605b0b5d855,sat + graded,37,2024984865,1,37
1,inst-37-2024984865,model,1,0,8.013,0,0,99.3545,0,1120099,yes,../wrapper.py 37 1 2024984865 tuning -k_middle 22 -k_delta 0 -l_middle 8 -l_delta 10 -n_middle 39 -n_delta 0,590d1add205a58dd8bf8d605b0b5d855,sat + graded,37,2024984865,1,37
1,inst-37-2024984865,model,2,0,7.319,0,1,NA,NA,NA,NA,../wrapper.py 37 1 2024984865 tuning -k_middle 22 -k_delta 0 -l_middle 8 -l_delta 10 -n_middle 39 -n_delta 0,590d1add205a58dd8bf8d605b0b5d855,solver timeout,37,2024984865,1,37
1,inst-37-1636326408,model,0,0,7.326,0,0,70.9621,0,1173849,yes,../wrapper.py 37 1 1636326408 tuning -k_middle 22 -k_delta 0 -l_middle 8 -l_delta 10 -n_middle 39 -n_delta 0,9d83f23eba16b5f27de0249158c8b008,sat + graded,37,1636326408,1,37
1,inst-37-1636326408,model,1,0,6.788,0,0,9.53816,0,159099,yes,../wrapper.py 37 1 1636326408 tuning -k_middle 22 -k_delta 0 -l_middle 8 -l_delta 10 -n_middle 39 -n_delta 0,9d83f23eba16b5f27de0249158c8b008,sat + too easy,37,1636326408,1,37
