"feasible","instance","model","seed","SRTimeOut","SRTime","solverMemOut","solverTimeOut","solverTime","solverNodeOut","nNodes","sat","cmd","md5checksum","type","configurationId","configurationSeed","iteration","runId"
1,"inst-50-1113633775","model",0,0,11.307,0,1,NA,NA,NA,NA,"../wrapper.py 50 1 1113633775 tuning -n_pieces_middle 28 -n_pieces_delta 22 -n_players_middle 1 -n_players_delta 9 -duration_range_middle 33 -duration_range_delta 2 -plays_in_cardMiddle 20 -plays_in_cardDelta 0 -plays_in_relation1_middle 12 -plays_in_relation1_delta 24 -plays_in_relation2_middle 29 -plays_in_relation2_delta 18","94435d82d2fa59176c8e433114394648","solver timeout",50,1113633775,2,358
1,"inst-51-1113633775","model",0,0,6.471,0,1,NA,NA,NA,NA,"../wrapper.py 51 1 1113633775 tuning -n_pieces_middle 35 -n_pieces_delta 24 -n_players_middle 3 -n_players_delta 23 -duration_range_middle 10 -duration_range_delta 12 -plays_in_cardMiddle 4 -plays_in_cardDelta 0 -plays_in_relation1_middle 12 -plays_in_relation1_delta 17 -plays_in_relation2_middle 18 -plays_in_relation2_delta 20","7d51dc6f9c21f67f5746e5d639058fa7","solver timeout",51,1113633775,2,359
1,"inst-52-1113633775","model",0,0,3.396,0,0,0.003041,0,0,"no","../wrapper.py 52 1 1113633775 tuning -n_pieces_middle 18 -n_pieces_delta 22 -n_players_middle 29 -n_players_delta 19 -duration_range_middle 1 -duration_range_delta 10 -plays_in_cardMiddle 3 -plays_in_cardDelta 1 -plays_in_relation1_middle 12 -plays_in_relation1_delta 20 -plays_in_relation2_middle 9 -plays_in_relation2_delta 20","2c3b22609079f69339818aec3eff4a3c","unsat + too easy",52,1113633775,2,360
1,"inst-53-1113633775","model",0,0,6.737,0,0,0.00462,0,0,"no","../wrapper.py 53 1 1113633775 tuning -n_pieces_middle 14 -n_pieces_delta 11 -n_players_middle 27 -n_players_delta 6 -duration_range_middle 12 -duration_range_delta 9 -plays_in_cardMiddle 13 -plays_in_cardDelta 0 -plays_in_relation1_middle 13 -plays_in_relation1_delta 14 -plays_in_relation2_middle 24 -plays_in_relation2_delta 16","bc8c2cea81b97916a6367d0b85f1820c","unsat + too easy",53,1113633775,2,361
1,"inst-54-1113633775","model",0,0,4.553,0,0,0.001187,0,0,"no","../wrapper.py 54 1 1113633775 tuning -n_pieces_middle 8 -n_pieces_delta 10 -n_players_middle 21 -n_players_delta 3 -duration_range_middle 34 -duration_range_delta 18 -plays_in_cardMiddle 2 -plays_in_cardDelta 1 -plays_in_relation1_middle 1 -plays_in_relation1_delta 24 -plays_in_relation2_middle 12 -plays_in_relation2_delta 20","53859ee8da30057c7fdbc807151fd397","unsat + too easy",54,1113633775,2,362
1,"inst-55-1113633775","model",0,0,8.286,0,0,0.005164,0,0,"no","../wrapper.py 55 1 1113633775 tuning -n_pieces_middle 23 -n_pieces_delta 9 -n_players_middle 28 -n_players_delta 21 -duration_range_middle 29 -duration_range_delta 21 -plays_in_cardMiddle 23 -plays_in_cardDelta 0 -plays_in_relation1_middle 6 -plays_in_relation1_delta 13 -plays_in_relation2_middle 37 -plays_in_relation2_delta 24","3311837670e1ff669908d34b9cc291fe","unsat + too easy",55,1113633775,2,363
0,"inst-56-1113633775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 56 1 1113633775 tuning -n_pieces_middle 27 -n_pieces_delta 19 -n_players_middle 9 -n_players_delta 4 -duration_range_middle 37 -duration_range_delta 1 -plays_in_cardMiddle 21 -plays_in_cardDelta 0 -plays_in_relation1_middle 21 -plays_in_relation1_delta 7 -plays_in_relation2_middle 25 -plays_in_relation2_delta 19","inst-56-1113633775","no instance",56,1113633775,2,364
1,"inst-57-1113633775","model",0,0,16.098,0,1,NA,NA,NA,NA,"../wrapper.py 57 1 1113633775 tuning -n_pieces_middle 45 -n_pieces_delta 17 -n_players_middle 10 -n_players_delta 3 -duration_range_middle 28 -duration_range_delta 8 -plays_in_cardMiddle 27 -plays_in_cardDelta 1 -plays_in_relation1_middle 8 -plays_in_relation1_delta 17 -plays_in_relation2_middle 17 -plays_in_relation2_delta 10","fccc7ae9f75913aee51a9b36689ebdae","solver timeout",57,1113633775,2,365
1,"inst-58-1113633775","model",0,0,8.255,0,0,0.004303,0,0,"no","../wrapper.py 58 1 1113633775 tuning -n_pieces_middle 14 -n_pieces_delta 23 -n_players_middle 31 -n_players_delta 18 -duration_range_middle 10 -duration_range_delta 7 -plays_in_cardMiddle 5 -plays_in_cardDelta 1 -plays_in_relation1_middle 9 -plays_in_relation1_delta 5 -plays_in_relation2_middle 25 -plays_in_relation2_delta 16","af384ccd0c2d728bdebc5b8f635ba508","unsat + too easy",58,1113633775,2,366
0,"inst-59-1113633775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 59 1 1113633775 tuning -n_pieces_middle 3 -n_pieces_delta 13 -n_players_middle 15 -n_players_delta 10 -duration_range_middle 3 -duration_range_delta 24 -plays_in_cardMiddle 4 -plays_in_cardDelta 3 -plays_in_relation1_middle 37 -plays_in_relation1_delta 9 -plays_in_relation2_middle 28 -plays_in_relation2_delta 18","inst-59-1113633775","no instance",59,1113633775,2,367
1,"inst-60-1113633775","model",0,0,14.294,0,1,NA,NA,NA,NA,"../wrapper.py 60 1 1113633775 tuning -n_pieces_middle 22 -n_pieces_delta 24 -n_players_middle 1 -n_players_delta 10 -duration_range_middle 18 -duration_range_delta 13 -plays_in_cardMiddle 19 -plays_in_cardDelta 0 -plays_in_relation1_middle 15 -plays_in_relation1_delta 22 -plays_in_relation2_middle 21 -plays_in_relation2_delta 22","a7360dc09b4b858faa7dc7c9beac21c2","solver timeout",60,1113633775,2,368
1,"inst-61-1113633775","model",0,0,3.092,0,1,NA,NA,NA,NA,"../wrapper.py 61 1 1113633775 tuning -n_pieces_middle 18 -n_pieces_delta 14 -n_players_middle 2 -n_players_delta 4 -duration_range_middle 43 -duration_range_delta 14 -plays_in_cardMiddle 7 -plays_in_cardDelta 0 -plays_in_relation1_middle 5 -plays_in_relation1_delta 23 -plays_in_relation2_middle 12 -plays_in_relation2_delta 5","62c3ca8d040eec167b214cd09501c08e","solver timeout",61,1113633775,2,369
0,"inst-62-1113633775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 62 1 1113633775 tuning -n_pieces_middle 28 -n_pieces_delta 12 -n_players_middle 11 -n_players_delta 11 -duration_range_middle 18 -duration_range_delta 5 -plays_in_cardMiddle 15 -plays_in_cardDelta 0 -plays_in_relation1_middle 39 -plays_in_relation1_delta 13 -plays_in_relation2_middle 26 -plays_in_relation2_delta 4","inst-62-1113633775","no instance",62,1113633775,2,370
1,"inst-33-1208567152","model",0,0,3.685,0,0,0.00179,0,0,"no","../wrapper.py 33 1 1208567152 tuning -n_pieces_middle 24 -n_pieces_delta 21 -n_players_middle 9 -n_players_delta 15 -duration_range_middle 15 -duration_range_delta 11 -plays_in_cardMiddle 2 -plays_in_cardDelta 0 -plays_in_relation1_middle 3 -plays_in_relation1_delta 23 -plays_in_relation2_middle 18 -plays_in_relation2_delta 12","05d3f0b6082a7ddf57ac49846062a866","unsat + too easy",33,1208567152,3,371
1,"inst-61-1208567152","model",0,0,2.588,0,0,0.002924,0,0,"no","../wrapper.py 61 1 1208567152 tuning -n_pieces_middle 18 -n_pieces_delta 14 -n_players_middle 2 -n_players_delta 4 -duration_range_middle 43 -duration_range_delta 14 -plays_in_cardMiddle 7 -plays_in_cardDelta 0 -plays_in_relation1_middle 5 -plays_in_relation1_delta 23 -plays_in_relation2_middle 12 -plays_in_relation2_delta 5","3a771976bf4aef7f4bf96ef11b078904","unsat + too easy",61,1208567152,3,372
1,"inst-60-1208567152","model",0,0,6.323,0,0,0.002643,0,0,"no","../wrapper.py 60 1 1208567152 tuning -n_pieces_middle 22 -n_pieces_delta 24 -n_players_middle 1 -n_players_delta 10 -duration_range_middle 18 -duration_range_delta 13 -plays_in_cardMiddle 19 -plays_in_cardDelta 0 -plays_in_relation1_middle 15 -plays_in_relation1_delta 22 -plays_in_relation2_middle 21 -plays_in_relation2_delta 22","cb1d935c92b827eb7e03762e42328fd8","unsat + too easy",60,1208567152,3,373
1,"inst-34-1208567152","model",0,0,5.661,0,0,0.00106,0,0,"no","../wrapper.py 34 1 1208567152 tuning -n_pieces_middle 11 -n_pieces_delta 16 -n_players_middle 2 -n_players_delta 11 -duration_range_middle 8 -duration_range_delta 8 -plays_in_cardMiddle 29 -plays_in_cardDelta 0 -plays_in_relation1_middle 15 -plays_in_relation1_delta 16 -plays_in_relation2_middle 9 -plays_in_relation2_delta 17","00b36d24b27a528d7d190fd3bf3ca501","unsat + too easy",34,1208567152,3,374
