"feasible","instance","model","seed","SRTimeOut","SRTime","solverMemOut","solverTimeOut","solverTime","solverNodeOut","nNodes","sat","cmd","md5checksum","type","configurationId","configurationSeed","runId"
0,"inst-14-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 14 14 123 random -nnodes_middle 10 -nnodes_delta 21 -nrings_middle 12 -nrings_delta 5 -capacity_middle 4 -capacity_delta 6 -demand_cardMiddle 37 -demand_cardDelta 3 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 1 -demand_inner_inner_middle 20 -demand_inner_inner_delta 6","inst-14-123","no instance",14,123,14
0,"inst-15-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 15 15 123 random -nnodes_middle 6 -nnodes_delta 9 -nrings_middle 29 -nrings_delta 5 -capacity_middle 23 -capacity_delta 5 -demand_cardMiddle 25 -demand_cardDelta 1 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 2 -demand_inner_inner_middle 19 -demand_inner_inner_delta 8","inst-15-123","no instance",15,123,15
1,"inst-16-123","model",0,0,3.562,0,1,NA,NA,NA,NA,"../wrapper.py 16 16 123 random -nnodes_middle 27 -nnodes_delta 18 -nrings_middle 12 -nrings_delta 10 -capacity_middle 14 -capacity_delta 15 -demand_cardMiddle 9 -demand_cardDelta 3 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 2 -demand_inner_inner_middle 34 -demand_inner_inner_delta 15","74ea04f7fcb0974765ff8aca03e4244c","solver timeout",16,123,16
0,"inst-17-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 17 17 123 random -nnodes_middle 19 -nnodes_delta 13 -nrings_middle 44 -nrings_delta 14 -capacity_middle 42 -capacity_delta 7 -demand_cardMiddle 36 -demand_cardDelta 1 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 2 -demand_inner_inner_middle 25 -demand_inner_inner_delta 6","inst-17-123","no instance",17,123,17
0,"inst-18-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 18 18 123 random -nnodes_middle 29 -nnodes_delta 22 -nrings_middle 46 -nrings_delta 6 -capacity_middle 17 -capacity_delta 24 -demand_cardMiddle 31 -demand_cardDelta 3 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 1 -demand_inner_inner_middle 21 -demand_inner_inner_delta 16","inst-18-123","no instance",18,123,18
1,"inst-19-123","model",0,0,3.756,0,1,NA,NA,NA,NA,"../wrapper.py 19 19 123 random -nnodes_middle 8 -nnodes_delta 14 -nrings_middle 12 -nrings_delta 24 -capacity_middle 31 -capacity_delta 12 -demand_cardMiddle 20 -demand_cardDelta 3 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 1 -demand_inner_inner_middle 15 -demand_inner_inner_delta 4","cac6d61d71f4c463d6928f3e5f8b3ae1","solver timeout",19,123,19
0,"inst-20-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 20 20 123 random -nnodes_middle 9 -nnodes_delta 12 -nrings_middle 13 -nrings_delta 5 -capacity_middle 34 -capacity_delta 1 -demand_cardMiddle 35 -demand_cardDelta 1 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 1 -demand_inner_inner_middle 42 -demand_inner_inner_delta 22","inst-20-123","no instance",20,123,20
0,"inst-21-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 21 21 123 random -nnodes_middle 15 -nnodes_delta 24 -nrings_middle 37 -nrings_delta 17 -capacity_middle 3 -capacity_delta 9 -demand_cardMiddle 24 -demand_cardDelta 2 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 2 -demand_inner_inner_middle 46 -demand_inner_inner_delta 15","inst-21-123","no instance",21,123,21
0,"inst-22-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 22 22 123 random -nnodes_middle 22 -nnodes_delta 13 -nrings_middle 3 -nrings_delta 6 -capacity_middle 20 -capacity_delta 4 -demand_cardMiddle 42 -demand_cardDelta 0 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 3 -demand_inner_inner_middle 28 -demand_inner_inner_delta 16","inst-22-123","no instance",22,123,22
0,"inst-23-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 23 23 123 random -nnodes_middle 9 -nnodes_delta 15 -nrings_middle 16 -nrings_delta 18 -capacity_middle 20 -capacity_delta 24 -demand_cardMiddle 49 -demand_cardDelta 2 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 1 -demand_inner_inner_middle 12 -demand_inner_inner_delta 14","inst-23-123","no instance",23,123,23
0,"inst-24-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 24 24 123 random -nnodes_middle 14 -nnodes_delta 13 -nrings_middle 40 -nrings_delta 4 -capacity_middle 21 -capacity_delta 11 -demand_cardMiddle 44 -demand_cardDelta 3 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 3 -demand_inner_inner_middle 34 -demand_inner_inner_delta 23","inst-24-123","no instance",24,123,24
0,"inst-25-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 25 25 123 random -nnodes_middle 26 -nnodes_delta 14 -nrings_middle 17 -nrings_delta 8 -capacity_middle 2 -capacity_delta 12 -demand_cardMiddle 44 -demand_cardDelta 0 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 0 -demand_inner_inner_middle 9 -demand_inner_inner_delta 19","inst-25-123","no instance",25,123,25
1,"inst-26-123","model",0,0,10.232,0,1,NA,NA,NA,NA,"../wrapper.py 26 26 123 random -nnodes_middle 37 -nnodes_delta 24 -nrings_middle 24 -nrings_delta 1 -capacity_middle 33 -capacity_delta 18 -demand_cardMiddle 6 -demand_cardDelta 1 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 0 -demand_inner_inner_middle 3 -demand_inner_inner_delta 9","8483dceffbae4c979e4622af13c18dae","solver timeout",26,123,26
1,"inst-27-123","model",0,0,2.875,0,0,111.315,0,4183143,"yes","../wrapper.py 27 27 123 random -nnodes_middle 4 -nnodes_delta 5 -nrings_middle 3 -nrings_delta 16 -capacity_middle 15 -capacity_delta 2 -demand_cardMiddle 3 -demand_cardDelta 3 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 3 -demand_inner_inner_middle 41 -demand_inner_inner_delta 24","8397ce95faa26a9e26290dbb5f3a54f2","sat + graded",27,123,27
1,"inst-27-123","model",1,0,2.355,0,0,0.008911,0,84,"yes","../wrapper.py 27 27 123 random -nnodes_middle 4 -nnodes_delta 5 -nrings_middle 3 -nrings_delta 16 -capacity_middle 15 -capacity_delta 2 -demand_cardMiddle 3 -demand_cardDelta 3 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 3 -demand_inner_inner_middle 41 -demand_inner_inner_delta 24","8397ce95faa26a9e26290dbb5f3a54f2","sat + too easy",27,123,27
0,"inst-28-123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 28 28 123 random -nnodes_middle 6 -nnodes_delta 2 -nrings_middle 40 -nrings_delta 19 -capacity_middle 1 -capacity_delta 19 -demand_cardMiddle 37 -demand_cardDelta 2 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 1 -demand_inner_inner_middle 8 -demand_inner_inner_delta 0","inst-28-123","no instance",28,123,28
1,"inst-29-123","model",0,0,11.01,0,1,NA,NA,NA,NA,"../wrapper.py 29 29 123 random -nnodes_middle 23 -nnodes_delta 12 -nrings_middle 20 -nrings_delta 11 -capacity_middle 36 -capacity_delta 1 -demand_cardMiddle 18 -demand_cardDelta 3 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 3 -demand_inner_inner_middle 12 -demand_inner_inner_delta 8","513e86de4fcee78caba262e50a18faad","solver timeout",29,123,29
