feasible,instance,model,seed,SRTimeOut,SRTime,solverMemOut,solverTimeOut,solverTime,solverNodeOut,nNodes,sat,cmd,md5checksum
1,inst-159-123,model,0,0,4.115,0,0,253.743,0,3798116,yes,../wrapper.py 159 159 123 random -nnodes_middle 48 -nnodes_delta 21 -nrings_middle 7 -nrings_delta 24 -capacity_middle 28 -capacity_delta 0 -demand_cardMiddle 6 -demand_cardDelta 0 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 3 -demand_inner_inner_middle 40 -demand_inner_inner_delta 23,b14823d26184cd2e614ce50fc8bdc172
1,inst-27-123,model,0,0,2.875,0,0,111.315,0,4183143,yes,../wrapper.py 27 27 123 random -nnodes_middle 4 -nnodes_delta 5 -nrings_middle 3 -nrings_delta 16 -capacity_middle 15 -capacity_delta 2 -demand_cardMiddle 3 -demand_cardDelta 3 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 3 -demand_inner_inner_middle 41 -demand_inner_inner_delta 24,8397ce95faa26a9e26290dbb5f3a54f2
1,inst-46-123,model,0,0,5.044,0,0,43.9354,0,537127,yes,../wrapper.py 46 46 123 random -nnodes_middle 50 -nnodes_delta 6 -nrings_middle 3 -nrings_delta 17 -capacity_middle 40 -capacity_delta 8 -demand_cardMiddle 18 -demand_cardDelta 1 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 0 -demand_inner_inner_middle 19 -demand_inner_inner_delta 4,734bdceceb908cfce0ef9a3bb66c17fb
1,inst-471-123,model,0,0,2.222,0,0,60.2624,0,2098260,yes,../wrapper.py 471 471 123 random -nnodes_middle 14 -nnodes_delta 9 -nrings_middle 6 -nrings_delta 6 -capacity_middle 3 -capacity_delta 11 -demand_cardMiddle 16 -demand_cardDelta 0 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 3 -demand_inner_inner_middle 13 -demand_inner_inner_delta 10,e41dec80c1cd82d564791954d9ddc102
1,inst-503-123,model,0,0,2.645,0,0,10.772,0,319826,yes,../wrapper.py 503 503 123 random -nnodes_middle 21 -nnodes_delta 20 -nrings_middle 7 -nrings_delta 21 -capacity_middle 20 -capacity_delta 15 -demand_cardMiddle 6 -demand_cardDelta 3 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 2 -demand_inner_inner_middle 26 -demand_inner_inner_delta 15,b433fdb73c6d4ce55aa0ea0e9b449f9a
1,inst-874-123,model,0,0,2.79,0,0,24.9464,0,950382,yes,../wrapper.py 874 874 123 random -nnodes_middle 3 -nnodes_delta 1 -nrings_middle 7 -nrings_delta 12 -capacity_middle 40 -capacity_delta 12 -demand_cardMiddle 7 -demand_cardDelta 1 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 2 -demand_inner_inner_middle 5 -demand_inner_inner_delta 4,12e3f278e13e00ed5a7a67aba065a2e4
1,inst-926-123,model,0,0,4.467,0,0,152.023,0,2569731,yes,../wrapper.py 926 926 123 random -nnodes_middle 47 -nnodes_delta 1 -nrings_middle 8 -nrings_delta 15 -capacity_middle 8 -capacity_delta 17 -demand_cardMiddle 7 -demand_cardDelta 1 -demand_inner_cardMiddle 2 -demand_inner_cardDelta 1 -demand_inner_inner_middle 49 -demand_inner_inner_delta 17,ab246107fe5c6f3d1734ab967c5dda9e
