"feasible","instance","model","seed","SRTimeOut","SRTime","solverMemOut","solverTimeOut","solverTime","solverNodeOut","nNodes","sat","cmd","md5checksum","type","configurationId","configurationSeed","iteration","runId"
0,"inst-7-137027669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 7 1 137027669 tuning -numNodes_middle 15 -numNodes_delta 12 -numLeaves_middle 31 -numLeaves_delta 6 -numPeriods_middle 22 -numPeriods_delta 9 -maxStock_middle 48 -maxStock_delta 3 -holdingCost_range_middle 3 -holdingCost_range_delta 25 -procCost_range_middle 22 -procCost_range_delta 9 -demand_range_middle 7 -demand_range_delta 1 -children_range_cardMiddle 33 -children_range_cardDelta 2 -children_range_inner_middle 50 -children_range_inner_delta 15","inst-7-137027669","no instance",7,137027669,1,7
0,"inst-8-137027669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 8 1 137027669 tuning -numNodes_middle 4 -numNodes_delta 4 -numLeaves_middle 24 -numLeaves_delta 0 -numPeriods_middle 23 -numPeriods_delta 6 -maxStock_middle 47 -maxStock_delta 17 -holdingCost_range_middle 8 -holdingCost_range_delta 12 -procCost_range_middle 35 -procCost_range_delta 11 -demand_range_middle 48 -demand_range_delta 18 -children_range_cardMiddle 20 -children_range_cardDelta 0 -children_range_inner_middle 13 -children_range_inner_delta 21","inst-8-137027669","no instance",8,137027669,1,8
0,"inst-9-137027669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 9 1 137027669 tuning -numNodes_middle 22 -numNodes_delta 12 -numLeaves_middle 35 -numLeaves_delta 19 -numPeriods_middle 8 -numPeriods_delta 21 -maxStock_middle 48 -maxStock_delta 14 -holdingCost_range_middle 25 -holdingCost_range_delta 4 -procCost_range_middle 0 -procCost_range_delta 22 -demand_range_middle 6 -demand_range_delta 0 -children_range_cardMiddle 47 -children_range_cardDelta 1 -children_range_inner_middle 9 -children_range_inner_delta 9","inst-9-137027669","no instance",9,137027669,1,9
0,"inst-10-137027669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 10 1 137027669 tuning -numNodes_middle 23 -numNodes_delta 10 -numLeaves_middle 26 -numLeaves_delta 21 -numPeriods_middle 3 -numPeriods_delta 13 -maxStock_middle 35 -maxStock_delta 16 -holdingCost_range_middle 33 -holdingCost_range_delta 12 -procCost_range_middle 49 -procCost_range_delta 10 -demand_range_middle 43 -demand_range_delta 19 -children_range_cardMiddle 27 -children_range_cardDelta 3 -children_range_inner_middle 24 -children_range_inner_delta 0","inst-10-137027669","no instance",10,137027669,1,10
0,"inst-11-137027669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 11 1 137027669 tuning -numNodes_middle 37 -numNodes_delta 17 -numLeaves_middle 10 -numLeaves_delta 16 -numPeriods_middle 28 -numPeriods_delta 8 -maxStock_middle 32 -maxStock_delta 20 -holdingCost_range_middle 36 -holdingCost_range_delta 9 -procCost_range_middle 6 -procCost_range_delta 10 -demand_range_middle 47 -demand_range_delta 20 -children_range_cardMiddle 38 -children_range_cardDelta 3 -children_range_inner_middle 50 -children_range_inner_delta 15","inst-11-137027669","no instance",11,137027669,1,11
1,"inst-12-137027669","model",0,0,1.054,0,0,0.00211,0,0,"no","../wrapper.py 12 1 137027669 tuning -numNodes_middle 2 -numNodes_delta 8 -numLeaves_middle 14 -numLeaves_delta 2 -numPeriods_middle 3 -numPeriods_delta 9 -maxStock_middle 17 -maxStock_delta 4 -holdingCost_range_middle 31 -holdingCost_range_delta 10 -procCost_range_middle 48 -procCost_range_delta 16 -demand_range_middle 16 -demand_range_delta 5 -children_range_cardMiddle 5 -children_range_cardDelta 3 -children_range_inner_middle 19 -children_range_inner_delta 14","7e7ea6e3f889e7c88f2f5a0b32d59532","unsat + too easy",12,137027669,1,12
0,"inst-13-137027669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 13 1 137027669 tuning -numNodes_middle 37 -numNodes_delta 21 -numLeaves_middle 29 -numLeaves_delta 0 -numPeriods_middle 46 -numPeriods_delta 19 -maxStock_middle 20 -maxStock_delta 2 -holdingCost_range_middle 2 -holdingCost_range_delta 21 -procCost_range_middle 42 -procCost_range_delta 17 -demand_range_middle 6 -demand_range_delta 8 -children_range_cardMiddle 37 -children_range_cardDelta 3 -children_range_inner_middle 35 -children_range_inner_delta 6","inst-13-137027669","no instance",13,137027669,1,13
0,"inst-14-137027669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 14 1 137027669 tuning -numNodes_middle 33 -numNodes_delta 7 -numLeaves_middle 48 -numLeaves_delta 3 -numPeriods_middle 21 -numPeriods_delta 6 -maxStock_middle 5 -maxStock_delta 20 -holdingCost_range_middle 26 -holdingCost_range_delta 17 -procCost_range_middle 20 -procCost_range_delta 21 -demand_range_middle 37 -demand_range_delta 9 -children_range_cardMiddle 48 -children_range_cardDelta 2 -children_range_inner_middle 2 -children_range_inner_delta 14","inst-14-137027669","no instance",14,137027669,1,14
0,"inst-15-137027669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 15 1 137027669 tuning -numNodes_middle 21 -numNodes_delta 1 -numLeaves_middle 27 -numLeaves_delta 24 -numPeriods_middle 36 -numPeriods_delta 13 -maxStock_middle 13 -maxStock_delta 19 -holdingCost_range_middle 33 -holdingCost_range_delta 21 -procCost_range_middle 33 -procCost_range_delta 12 -demand_range_middle 25 -demand_range_delta 9 -children_range_cardMiddle 22 -children_range_cardDelta 3 -children_range_inner_middle 47 -children_range_inner_delta 3","inst-15-137027669","no instance",15,137027669,1,15
1,"inst-16-137027669","model",0,0,1.883,0,0,0.004579,0,0,"no","../wrapper.py 16 1 137027669 tuning -numNodes_middle 38 -numNodes_delta 24 -numLeaves_middle 49 -numLeaves_delta 8 -numPeriods_middle 20 -numPeriods_delta 23 -maxStock_middle 6 -maxStock_delta 23 -holdingCost_range_middle 17 -holdingCost_range_delta 13 -procCost_range_middle 27 -procCost_range_delta 18 -demand_range_middle 20 -demand_range_delta 3 -children_range_cardMiddle 17 -children_range_cardDelta 2 -children_range_inner_middle 3 -children_range_inner_delta 21","508192a6271c67436d55fb8d3f18aa4c","unsat + too easy",16,137027669,1,16
